x,f_x
-8.0,0.00016773131395125593
-7.967935871743487,0.00017319662428392748
-7.935871743486974,0.0001788400147635243
-7.903807615230461,0.00018466728790386507
-7.871743486973948,0.0001906844352862598
-7.839679358717435,0.000196897643720032
-7.807615230460922,0.00020331330160377396
-7.775551102204409,0.0002099380054938752
-7.7434869739478955,0.00021677856688707796
-7.7114228456913825,0.00022384201922403383
-7.679358717434869,0.00023113562512106208
-7.647294589178356,0.00023866688383754564
-7.615230460921843,0.00024644353898664275
-7.58316633266533,0.0002544735864972421
-7.551102204408818,0.00026276528283534806
-7.519038076152305,0.00027132715349335016
-7.486973947895792,0.0002801680017559024
-7.454909819639279,0.00028929691775142995
-7.422845691382766,0.0002987232877985662
-7.390781563126253,0.00030845680405713183
-7.35871743486974,0.00031850747449357875
-7.326653306613227,0.00032888563317114535
-7.294589178356714,0.0003396019508753031
-7.2625250501002006,0.0003506674460854199
-7.2304609218436875,0.0003620934963039208
-7.198396793587174,0.0003738918497545954
-7.166332665330661,0.00038607463746207925
-7.134268537074148,0.0003986543857249296
-7.102204408817635,0.000411644028995121
-7.070140280561122,0.0004250569231772019
-7.038076152304609,0.000438906859360788
-7.006012024048096,0.000453208078000511
-6.973947895791583,0.00046797528355800296
-6.94188376753507,0.00048322365962097066
-6.909819639278557,0.0004989688845149063
-6.877755511022044,0.0005152271474234852
-6.845691382765532,0.0005320151650342261
-6.813627254509019,0.0005493501987265306
-6.781563126252506,0.000567250072319769
-6.7494989979959925,0.0005857331903996695
-6.7174348697394795,0.000604818557241846
-6.685370741482966,0.0006245257963519264
-6.653306613226453,0.0006448751706423706
-6.62124248496994,0.0006658876032667243
-6.589178356713427,0.0006875846991327301
-6.557114228456914,0.0007099887671164164
-6.525050100200401,0.0007331228430000034
-6.492985971943888,0.0007570107131572111
-6.460921843687375,0.0007816769390103247
-6.428857715430862,0.000807146882284159
-6.396793587174349,0.0008334467310828945
-6.364729458917836,0.0008606035268165904
-6.332665330661323,0.0008886451920050666
-6.30060120240481,0.0009176005589877374
-6.268537074148297,0.0009474993995689198
-6.236472945891784,0.0009783724556290958
-6.2044088176352705,0.0010102514707336031
-6.1723446893787575,0.001043169222771255
-6.140280561122244,0.0010771595576564484
-6.108216432865731,0.0011122574241294108
-6.076152304609218,0.0011484989096903699
-6.044088176352705,0.001185921277704591
-6.012024048096192,0.001224563005716437
-5.979959919839679,0.0012644638250118388
-5.947895791583166,0.001305664761469863
-5.915831663326653,0.001348208177745372
-5.88376753507014,0.0013921378168261543
-5.851703406813627,0.0014374988470093073
-5.819639278557114,0.0014843379083431172
-5.787575150300601,0.0015327031605821906
-5.755511022044088,0.0015826443327051404
-5.7234468937875755,0.0016342127740457413
-5.6913827655310625,0.0016874615070901363
-5.659318637274549,0.0017424452819943582
-5.627254509018036,0.0017992206328782488
-5.595190380761523,0.0018578459359536363
-5.56312625250501,0.0019183814695465466
-5.531062124248497,0.0019808894760751624
-5.498997995991984,0.002045434226047252
-5.466933867735471,0.0021120820841428775
-5.434869739478958,0.0021809015774503174
-5.402805611222445,0.0022519634659253743
-5.370741482965932,0.002325340815146507
-5.338677354709419,0.0024011090714405967
-5.306613226452907,0.0024793461394565838
-5.274549098196394,0.0025601324622667614
-5.242484969939881,0.0026435511040780366
-5.2104208416833675,0.0027296878356382606
-5.178356713426854,0.0028186312224254
-5.146292585170341,0.002910472715710243
-5.114228456913828,0.003005306746586269
-5.082164328657315,0.0031032308230633586
-5.050100200400802,0.0032043456303251783
-5.018036072144289,0.003308755134253327
-4.985971943887776,0.0034165666883246787
-4.953907815631263,0.0035278911439918462
-4.92184368737475,0.0036428429646602417
-4.889779559118237,0.0037615403433789423
-4.857715430861724,0.0038841053243663572
-4.825651302605211,0.004010663928495656
-4.793587174348698,0.0041413462828689745
-4.761523046092185,0.004276286754613638
-4.729458917835672,0.004415624089037956
-4.697394789579159,0.00455950155228865
-4.6653306613226455,0.004708067078656594
-4.6332665330661325,0.004861473422682316
-4.601202404809619,0.00501987831621767
-4.569138276553106,0.005183444630605162
-4.537074148296593,0.005352340544141677
-4.50501002004008,0.005526739714998797
-4.472945891783567,0.005706821459777516
-4.440881763527054,0.005892770937880917
-4.408817635270541,0.006084779341894413
-4.376753507014028,0.00628304409416927
-4.344689378757515,0.006487769049811562
-4.312625250501002,0.006699164706285261
-4.280561122244489,0.006917448419844969
-4.248496993987976,0.007142844629020842
-4.216432865731463,0.007375585085385477
-4.18436873747495,0.007615909091840048
-4.152304609218437,0.007864063748664694
-4.1202404809619235,0.008120304207586127
-4.088176352705411,0.008384893934123729
